date,open,open,open,open,open,high,high,high,high,high,low,low,low,low,low,close,close,close,close,close,volume,volume,volume,volume,volume
,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2025-02-12,835.2104321766692,1247.5735208959845,1830.8181177592105,1214.5989377224967,3908.225423162638,844.5837329512449,1260.0274734986122,1840.142154487476,1222.0193743195214,3958.0733824566832,829.38909497558,1235.119689428972,1793.9103785152583,1188.6027887286011,3877.765264214856,842.0184326171875,1242.2149658203125,1809.59619140625,1211.7105712890625,3887.60693359375,22809570,8809352,5633947,21131654,1678002
2025-02-13,838.1704689996619,1242.9592342670746,1814.7924102365155,1212.2086229517822,3905.174387520859,845.6937766231139,1256.3061987457909,1819.6486917731397,1223.1150152108587,3921.3638855028084,835.4818356095761,1236.3601292961446,1782.8866642532057,1207.1786632211406,3840.4654117195746,837.5291137695312,1239.337158203125,1790.2681884765625,1211.2623291015625,3848.240234375,12602434,7263785,5237744,8511216,2277310
2025-02-14,839.601120018604,1242.5126718509223,1800.709122375355,1214.1507532507958,3862.855176096314,839.601120018604,1253.8254065127483,1805.8568280246752,1219.1308629852126,3885.4910153447763,828.7971451888767,1234.9212235163006,1775.796375368045,1200.6546072366423,3838.251003000159,836.1231079101562,1250.451416015625,1803.0401611328125,1212.40771484375,3872.54931640625,19959892,10368438,5292961,10298145,1681975
2025-02-17,831.3624591587258,1241.5699462890625,1785.7033698235564,1206.2821918357026,3795.439917114117,848.5304243918573,1248.5163471638045,1799.495162260814,1222.6169765728448,3871.7128572350416,829.413823260936,1223.8069826822411,1769.7747423270973,1199.7084711054922,3795.144618968299,847.2230834960938,1241.5699462890625,1789.3455810546875,1220.02734375,3842.679931640625,12938946,8386151,4428956,8166683,1799806
2025-02-18,845.1017788797033,1243.3065364897366,1789.3456107739096,1219.9775298877432,3836.6762023241963,854.2284140997132,1247.9705000138076,1808.1393973263787,1225.0074896525716,3862.2645420941762,841.697778564227,1227.5779245772142,1784.780634818134,1211.2623373341316,3803.313040041849,850.0350952148438,1233.531982421875,1798.7181396484375,1220.525390625,3811.875244140625,16350910,8135042,4365260,6673250,2149879
2025-02-19,847.0504387449713,1225.3947820253827,1794.2989338566194,1214.6488125132394,3810.891244071504,857.3610822217985,1254.7681118615644,1796.0471240806544,1227.8461038341088,3813.5977032041283,844.8057556604201,1220.8300282561831,1753.9917969230971,1212.706618273488,3708.488624107545,852.0823974609375,1251.9896240234375,1758.7509765625,1222.567138671875,3724.186279296875,11884112,10683412,4611411,6217338,4366672
2025-02-20,844.0904430253034,1245.7378271028595,1753.6518766132701,1219.0810452834291,3701.9440542383145,845.9157460199498,1254.3216187366877,1778.3703022593725,1234.4198079853766,3728.024478919244,831.4118438608401,1237.203701075922,1753.6518766132701,1217.1388510698625,3691.9055992086073,832.2998046875,1240.379150390625,1772.6884765625,1228.0950927734375,3719.560546875,26390510,8398849,2218020,7795582,2888572
2025-02-21,829.2411711352042,1231.5968971791747,1769.4347905187403,1223.8121434284387,3716.312751938317,836.1724445897772,1235.1693078219741,1777.2533326664163,1235.0672403005465,3756.5650823062147,827.4404985932164,1215.173692889092,1754.2830972545896,1217.2882724889691,3715.230072231061,834.9638061523438,1223.50927734375,1762.8302001953125,1223.264404296875,3726.055908203125,15680940,7786428,3379879,6904025,1833931
2025-02-24,829.339781575346,1217.3071583182455,1748.309923055587,1211.7105497558396,3683.8840878009846,830.8690975664632,1222.467414805944,1756.0313630959042,1218.3838481751116,3703.6166814091953,819.4731490892408,1200.9831637697991,1699.9413126430345,1205.68456833515,3611.8923780648593,827.366455078125,1209.0211181640625,1713.3931884765625,1209.718505859375,3617.40380859375,20693646,11522480,7594720,7172498,2508516
2025-02-25,824.406500920576,1217.2079253456668,1694.987890846883,1206.1826029932777,3567.6050003776913,832.7438177754724,1222.2193060560244,1727.3306532632726,1216.1428226711741,3600.0825079673364,824.406500920576,1211.6508286551266,1694.987890846883,1196.7203942992758,3563.9143745152314,829.9564819335938,1214.7767333984375,1716.8896484375,1199.21044921875,3572.0830078125,24138708,11059417,5092963,11552182,4101954
2025-02-27,830.0552335524236,1215.769120615194,1704.748997302386,1207.975493883109,3554.5154128372324,843.9671626938127,1225.3947998146707,1724.8054634563641,1210.166693583284,3580.399049402227,830.0552335524236,1209.1203494513463,1700.7668702151418,1195.8738026303336,3543.6895773387646,839.0091552734375,1213.0897216796875,1713.5875244140625,1202.298095703125,3555.35205078125,35786800,12008162,5757079,11509215,3823856
2025-02-28,831.2638337603047,1206.6891556122284,1704.6034155946859,1197.218393771922,3528.18909122495,857.0404125816553,1215.620243112648,1704.6519072727174,1212.5073065135477,3543.0008511716787,831.2638337603047,1190.9108768010287,1634.0901134127998,1188.5530513693543,3402.2649840279146,854.6477661132812,1194.8802490234375,1639.189208984375,1195.325927734375,3428.099365234375,54516728,20215075,12182167,23007298,7085018
